,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
192,Cother,tf2,4,6.858002321,6.413512847,3.206756424,Solyc01g008920,2.777788393,tf2.Solyc01g008920
194,Ambr,tf2,4,374.3736644,59.0738947,29.53694735,Solyc01g008960,8.548335141,tf2.Solyc01g008960
195,Ambr,wt,3,455.25847,16.47549622,9.512132178,Solyc01g008960,8.830542048,wt.Solyc01g008960
196,Aother,tf2,4,293.0335504,82.42488464,41.21244232,Solyc01g008960,8.194922043,tf2.Solyc01g008960
197,Aother,wt,5,369.8705058,75.63939464,33.82696564,Solyc01g008960,8.530876451,wt.Solyc01g008960
198,Bmbr,tf2,3,245.2013205,161.9880509,93.52384479,Solyc01g008960,7.937822939,tf2.Solyc01g008960
199,Bmbr,wt,4,351.057408,52.43629904,26.21814952,Solyc01g008960,8.455563162,wt.Solyc01g008960
200,Bother,tf2,4,347.4180392,16.38260178,8.191300891,Solyc01g008960,8.440528856,tf2.Solyc01g008960
201,Bother,wt,4,381.2868909,147.60006,73.80003,Solyc01g008960,8.57473312,wt.Solyc01g008960
202,Cmbr,tf2,4,593.4947888,350.2811561,175.1405781,Solyc01g008960,9.213091552,tf2.Solyc01g008960
203,Cmbr,wt,6,498.0098478,110.8347114,45.24808146,Solyc01g008960,8.960030461,wt.Solyc01g008960
204,Cother,tf2,4,346.0214723,114.0735979,57.03679894,Solyc01g008960,8.434717757,tf2.Solyc01g008960
205,Cother,wt,3,367.2681508,51.00225227,29.44616408,Solyc01g008960,8.520689982,wt.Solyc01g008960
206,Ambr,tf2,4,2.22562602,1.113739457,0.556869729,Solyc01g009080,1.154211192,tf2.Solyc01g009080
207,Ambr,wt,3,1.602424591,2.274798406,1.313355472,Solyc01g009080,0.680256467,wt.Solyc01g009080
208,Aother,tf2,4,1.557930249,1.268583064,0.634291532,Solyc01g009080,0.639630643,tf2.Solyc01g009080
209,Aother,wt,5,5.415699199,4.108990212,1.837596286,Solyc01g009080,2.43714761,wt.Solyc01g009080
211,Bmbr,wt,4,2.830110141,3.063429211,1.531714606,Solyc01g009080,1.5008582,wt.Solyc01g009080
212,Bother,tf2,4,5.001531196,4.744255895,2.372127947,Solyc01g009080,2.322369837,tf2.Solyc01g009080
213,Bother,wt,4,4.329690544,2.50994685,1.254973425,Solyc01g009080,2.114263915,wt.Solyc01g009080
214,Cmbr,tf2,4,2.821287079,3.513775108,1.756887554,Solyc01g009080,1.496353474,tf2.Solyc01g009080
215,Cmbr,wt,6,1.21218605,2.241440513,0.915064258,Solyc01g009080,0.277611145,wt.Solyc01g009080
216,Cother,tf2,4,2.751204173,2.11318887,1.056594435,Solyc01g009080,1.460063209,tf2.Solyc01g009080
218,Ambr,tf2,4,15.72804656,5.70078121,2.850390605,Solyc01g010640,3.975267593,tf2.Solyc01g010640
219,Ambr,wt,3,33.73730221,44.23767512,25.54063364,Solyc01g010640,5.076272709,wt.Solyc01g010640
220,Aother,tf2,4,9.442365648,12.06040906,6.030204529,Solyc01g010640,3.239148351,tf2.Solyc01g010640
221,Aother,wt,5,13.39044021,5.783476064,2.586449125,Solyc01g010640,3.743131485,wt.Solyc01g010640
